"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"443","Some really interesting tweets coming from #MuseumOfTheFuture debate focusing on museum collections in the digital age @britishmuseum.",FALSE,0,NA,2014-10-16 20:23:00,FALSE,NA,"522845182689951744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","theriversideUCC",1,FALSE,FALSE,NA,NA
"444","RT @LauraKugel: Viewing objects 'physically' and 'virtually' aren't competing but complementing each other #MuseumOfTheFuture @britishmuseu…",FALSE,0,NA,2014-10-16 20:22:52,FALSE,NA,"522845151354310656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alix_green",27,TRUE,FALSE,NA,NA
"445","RT @britishmuseum: Mark Walport @uksciencechief: it seems to me there are 2 ways of interacting – look and learn, but also interact #Museum…",FALSE,0,NA,2014-10-16 20:21:50,FALSE,NA,"522844890770575360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","istacihuatzin",4,TRUE,FALSE,NA,NA
"446","RT @somaro_s: 2 million objects digitised, another 8-10 (million!) to go #museumofthefuture",FALSE,0,NA,2014-10-16 20:21:40,FALSE,NA,"522844850082041857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rehtaeh1",12,TRUE,FALSE,NA,NA
"447","RT @edtparkes: Lots of ideas being discussed at #MuseumOfTheFuture could be achieved by making more collections available as open data @bri…",FALSE,0,NA,2014-10-16 20:21:37,FALSE,NA,"522844833958739968",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","stellaparkes",11,TRUE,FALSE,NA,NA
"448","RT @britishmuseum: Book for the next #MuseumOfTheFuture debate on 18 Nov, on the new Knowledge Quarter in Camden http://t.co/z9AfDye61x htt…",FALSE,0,NA,2014-10-16 20:20:47,FALSE,NA,"522844625430925312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","istacihuatzin",44,TRUE,FALSE,NA,NA
"449","RT @britishmuseum: Amit Sood: I really hope that as a museum of the world the Museum will build tech and access for people of the world #Mu…",FALSE,0,NA,2014-10-16 20:20:40,FALSE,NA,"522844595244113921",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","istacihuatzin",8,TRUE,FALSE,NA,NA
"450","RT @britishmuseum: Sonita Alleyne: we're in a position now where museums are part of present – I like the idea of the Museum in Minecraft #…",FALSE,0,NA,2014-10-16 20:20:35,FALSE,NA,"522844574105223168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","istacihuatzin",15,TRUE,FALSE,NA,NA
"451","RT @britishmuseum: An audience member is lamenting the missed opportunity of looking at historical porn from #pompeiiexhibition #MuseumOfTh…",FALSE,0,NA,2014-10-16 20:16:29,FALSE,NA,"522843543660814337",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Frioacero",18,TRUE,FALSE,NA,NA
"452","RT @LauraKugel: I'm already having a great evening,having walked around an empty @britishmuseum #MuseumOfTheFuture http://t.co/3oRGI5QHxr",FALSE,0,NA,2014-10-16 20:16:25,FALSE,NA,"522843527323996160",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","joanne_tilley",7,TRUE,FALSE,NA,NA
